doctors_name,doctors_location,doctors_profession,doctors_rating,doctors_number,doctors_cost,specialty
Dr. Pramod Jagtap,"Wanowrie,",General Physician,unavailable,912048556145.0,₹800,General Physician
Dr. Kshitij Raghuvanshi,"Wanowrie,",General Physician,unavailable,912048556145.0,₹900,General Physician
Dr. Lata Patil,"Wanowrie,",General Physician,unavailable,912048556145.0,₹800,General Physician
Dr. Janitha Gilbert,"Wanowrie,",General Physician,unavailable,912048556145.0,₹700,General Physician
Dr. Pandurang Sawant,"Dhanori,",General Physician,95%,917971262166.0,₹700,General Physician
Dr. Govinda N,"Sasanenagar,",General Physician,50%,912248968624.0,₹500,General Physician
Dr. Nivratti Adate,"Sinhagad Road,",General Physician,88%,912071171335.0,₹400,General Physician
Dr. Ravindra Chhajed,"Market Yard,",General Physician,98%,912071171345.0,₹800,General Physician
Dr. Abhijeet Baldota,"Aundh,",General Physician,96%,912248932475.0,₹800,General Physician
Dr. Anupama Joshi,"Shivajinagar,",General Physician,100%,917969141570.0,₹800,General Physician
Dr. Pournima Kulkarni,"Kothrud,",General Physician,100%,917969201218.0,₹1500,General Physician
Dr. Devendra Satpute,"Pimpri-Chinchwad,",General Physician,50%,912048552499.0,₹1000,General Physician
Dr. Abhijit Bagade,"Shankar Shet Road,",General Physician,96%,912048552499.0,₹1000,General Physician
Dr. Ravindra Singh,"Pimpri-Chinchwad,",General Physician,100%,917969201608.0,₹700,General Physician
Dr. Pankaj Totala,"Pimpri-Chinchwad,",General Physician,unavailable,912071189377.0,₹1000,General Physician
Dr. Mukesh Budhwani,"Viman Nagar,",General Physician,88%,912071178462.0,₹750,General Physician
Dr. Rachna Mogri,"Hadapsar,",General Physician,100%,917969141778.0,₹600,General Physician
Dr. Raj Sewani,"Viman Nagar,",General Physician,79%,917971261808.0,₹600,General Physician
Dr. Amit Sakaria,"Viman Nagar,",General Physician,94%,917969201754.0,₹800,General Physician
Dr. Piyush Lodha,"Shankar Shet Road,",General Physician,97%,917969201754.0,₹1000,General Physician
Dr. Gopal Jaju,"Kharadi,",General Physician,95%,912048564450.0,₹700,General Physician
Dr. (Colonel) A.K Mehta,"Magarpatta City,",General Physician,98%,917971115412.0,₹600,General Physician
Dr. Mushfiya Bahrainwala,"Wanowrie,",General Physician,100%,912071187111.0,₹600,General Physician
Dr. Gore Jinal Dhansukh,"Pimpri-Chinchwad,",General Physician,unavailable,917971261184.0,₹800,General Physician
Dr. Sujay Patil,"Shankar Shet Road,",General Physician,100%,912071171359.0,₹1000,General Physician
Dr. Rajiv Kumar,"Viman Nagar,",General Physician,100%,912248933433.0,₹800,General Physician
Dr. Suyash Gandhe,"Viman Nagar,",General Physician,100%,917969141716.0,₹800,General Physician
Dr. Mahavir Bagrecha,"Pimpri-Chinchwad,",General Physician,98%,912241642385.0,₹700,General Physician
Dr. Komal Kulkarni,"Bavdhan,",General Physician,83%,912071173180.0,₹600,General Physician
Dr. Nilesh Giri,"Pimpri-Chinchwad,",General Physician,100%,912071187887.0,₹1000,General Physician
Dr. Anand Kalaskar,"Nigdi-Pradhikaran,",General Physician,88%,918037320472.0,₹750,General Physician
Dr. Amitkumar Patil,"Pimpri-Chinchwad,",General Physician,unavailable,912071187733.0,₹800,General Physician
Dr. Girish Singh,"Yerwada,",General Physician,94%,912249398289.0,₹500,General Physician
Dr. Satish Chavan,"Baner,",General Physician,99%,912071187887.0,₹1000,General Physician
Dr. Kavita Ramnivas,"Hadapsar,",General Physician,80%,912071533875.0,₹500,General Physician
Dr. Chanda Shyamrao Suvarnkar,"Shaniwar Peth,",General Physician,100%,917971261691.0,₹700,General Physician
Dr. Kapil Patwardhan,"Nagar Road,",General Physician,86%,912071179090.0,₹880,General Physician
Dr. Siddhesh Tryambake,"Pimpri-Chinchwad,",General Physician,unavailable,912071173266.0,₹1000,General Physician
Dr. Suman Bala,"Viman Nagar,",General Physician,100%,912248933433.0,₹600,General Physician
Dr. Pratibha Yogesh Walde,"Kharadi,",General Physician,75%,917969201736.0,₹700,General Physician
Dr. Baset Hakim,"Viman Nagar,",General Physician,83%,917969141767.0,₹715,General Physician
Dr. Anup Bhoyar,"Kharadi,",General Physician,97%,912048556580.0,₹800,General Physician
Dr. Manoj Pawar,"Kharadi,",General Physician,100%,917971262789.0,₹800,General Physician
Dr. Kiran Sudhare,"Nigdi-Pradhikaran,",General Physician,50%,912048553248.0,₹1925,General Physician
Dr. Rahul Kulkarni,"Hadapsar,",General Physician,unavailable,917971262001.0,₹605,General Physician
Dr. Kishor Sharma,"Balewadi,",General Physician,85%,917971262001.0,₹300,General Physician
Dr. Shrishrimal Kavit Sohan,"Viman Nagar,",General Physician,50%,918037314148.0,₹700,General Physician
Dr. Amol L Dange,"Hinjewadi,",unavailable,92%,unavailable,₹600,General Physician
Dr. Rama Joshirao Paranjape,"Karve Nagar,",General Physician,100%,918037321133.0,₹500,General Physician
Dr. Prafull Warghane,"Wakad,",General Physician,93%,917969201714.0,₹800,General Physician
Dr. Mukesh Mahajan,"Keshav Nagar,",General Physician,99%,917969201572.0,₹500,General Physician
Dr. Rajkumar Gautam Nikalje,"Nigdi-Pradhikaran,",General Physician,90%,917969201572.0,₹500,General Physician
Dr. Sunayana Shinde,"Kharadi,",General Physician,100%,917969201747.0,₹500,General Physician
Dr. Ravi Pratap,"Kharadi,",General Physician,99%,917969201747.0,₹700,General Physician
Dr. Gaurav Chaudhary,"Balewadi,",General Physician,97%,917969201747.0,₹600,General Physician
Dr. Chinmay Naik,"Sadashiv Peth,",General Physician,99%,912071177320.0,₹1000,General Physician
Dr. Sanjay Dudhavade,"Junnar,",General Physician,100%,912071177320.0,₹100,General Physician
Dr. Kalpana Chhajed,"Market Yard,",General Physician,100%,912071171709.0,₹700,General Physician
Dr. Amol Jadhav,"Dhayari,",General Physician,unavailable,912071171709.0,₹500,General Physician
Dr. Pankhuri Agarwal,"Pimpri-Chinchwad,",General Physician,100%,912071171709.0,₹400,General Physician
Dr. Palve Amit Hanumanrao,"Kharadi,",General Physician,75%,912071177331.0,₹600,General Physician
Dr. Deepti K,"Kharadi,",General Physician,unavailable,912048552978.0,₹500,General Physician
Dr. Sheetal Mahajani,"Nagar Road,",General Physician,50%,917969201157.0,₹845,General Physician
Dr. Samruddhi Dilip,"Kharadi,",General Physician,unavailable,918037298997.0,₹400,General Physician
Dr. Dhakane Anupama Gangaram,"Viman Nagar,",Gynecologist/Obstetrician,100%,917971171358.0,₹700,General Physician
Dr. Grishma G. Ganeshwala,"Kharadi,",General Physician,50%,918037321110.0,₹500,General Physician
Dr. Prajakta Chaudhari,"Aundh,",General Physician,unavailable,912071533875.0,₹700,General Physician
Dr. Sneha Trivedi,"Hadapsar,",Gynecologist,96%,912048556097.0,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Gynac
Dr. Mithil Patil,"Balewadi,",Gynecologist,96%,917949108393.0,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Gynac
Dr. Kishore Pandit,"Shivajinagar,",Gynecologist,99%,917949107756.0,₹1400,Gynac
Dr. Kapil Kanade,"Hadapsar,",Gynecologist,89%,912071189373.0,₹700,Gynac
Dr. Soniya Pawar,"Dhankawadi,",Gynecologist,90%,912048556246.0,₹800,Gynac
Dr. Sonali Chaudhari,"Pimple Saudagar,",Gynecologist,91%,912048554718.0,₹800,Gynac
Dr. Rushabh Karnawat,"Wakad,",Gynecologist,97%,912071189373.0,₹600,Gynac
Dr. Santosh Sidid,"Hadapsar,",Gynecologist,unavailable,912048556097.0,₹850,Gynac
Dr. Madhulika Singh,"Aundh,",Gynecologist,98%,918046809162.0,₹1000,Gynac
Dr. Marya Patil,"Wanowrie,",Gynecologist,unavailable,912048556145.0,₹700,Gynac
Dr. Sushila Netravali,"Pimpri-Chinchwad,",Gynecologist,85%,unavailable,₹1000,Gynac
Dr. Priyanka Gholap,"Kalyani Nagar,",Gynecologist,93%,912071533932.0,₹1000,Gynac
Dr. Lavina Batra,"Viman Nagar,",Gynecologist,85%,912248966474.0,₹400,Gynac
Dr. Seemitha Shetty,"Kalyani Nagar,",Gynecologist,unavailable,912071173199.0,₹800,Gynac
Dr. Pallavi Joshi Bhaik,"Kothrud,",Gynecologist,92%,917971262210.0,₹500,Gynac
Dr. Sushama Surve Kunjir,"Hadapsar,",Gynecologist,100%,917969141799.0,₹700,Gynac
Dr. Shipra Kunwar,"Kharadi,",Gynecologist,78%,912048553262.0,₹700,Gynac
Dr. Sushruta Mokadam,"Kharadi,",Gynecologist,88%,918037298999.0,₹750,Gynac
Dr. Smita Khose,"Kalyani Nagar,",Gynecologist,94%,917971262195.0,₹1000,Gynac
Dr. Sneha Ashok Sasane,"Hadapsar,",Gynecologist,99%,912071173261.0,₹500,Gynac
Dr. Chanda Shyamrao Suvarnkar,"Shaniwar Peth,",Gynecologist,100%,917971261691.0,₹700,Gynac
Dr. Sameer Malshe,"Warje,",Gynecologist,100%,917971261827.0,₹400,Gynac
Dr. Deeptie Narayanann,"Wakad,",Gynecologist,67%,918037285150.0,₹600,Gynac
Dr. Pushpa Soni,"Kalyani Nagar,",Gynecologist,100%,912071533824.0,₹1000,Gynac
Dr. Mane Tejal Manohar,"Kalyani Nagar,",Gynecologist,unavailable,917971115271.0,₹1000,Gynac
Dr. Archana Chandak,"Nigdi-Pradhikaran,",Gynecologist,85%,918037320389.0,₹750,Gynac
Dr. Rashmi Motiram Bhamare,"Baner Road,",Gynecologist,84%,912071172695.0,₹700,Gynac
Dr. Karishma Dafle,"Baner,",Gynecologist,100%,912071533798.0,₹1000,Gynac
Dr. Swati A. Gaikwad,"Kharadi,",Gynecologist,85%,912048566750.0,₹750,Gynac
Dr. Sushil Garud,"Kharadi,",Gynecologist,unavailable,917969201343.0,₹700,Gynac
Dr. Neelkanth G Belvi,"Wanowrie,",Gynecologist,97%,unavailable,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Gynac
Dr. Vaishali Umap,"Wakad,",Gynecologist,80%,unavailable,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Gynac
Dr. Payal Narang,"Lulla Nagar,",Gynecologist,100%,917971115160.0,₹650,Gynac
Dr. Varsha Patil Deshpande,"Hinjewadi,",Gynecologist,82%,917971115160.0,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Gynac
Dr. Nikhil Mahadar,"Wakad,",Gynecologist,99%,917971115160.0,₹400,Gynac
Dr. Vaishali Chaudhary,"Yerwada,",Gynecologist,97%,917971261704.0,₹800,Gynac
Dr. Charu Jagdish Chandra Gupta,"Wanowrie,",Gynecologist,unavailable,912071189376.0,₹500,Gynac
Dr. Rashmi Sarang Pabalkar,"Wanowrie,",Gynecologist,100%,912071173266.0,₹500,Gynac
Dr. Archana N Belvi,"Wanowrie,",Gynecologist,92%,912071173266.0,₹500,Gynac
Dr. Girija Wagh,"Senapati Bapat Marg,",Gynecologist,89%,912071173194.0,₹1000,Gynac
Dr. Madhu Juneja,"Hadapsar,",Gynecologist,98%,912071173194.0,₹880,Gynac
Dr. Seema Jain,"Pimple Saudagar,",Gynecologist,94%,918037298998.0,₹1000,Gynac
Dr. Jaideep Palwade,"Baner,",Gynecologist,94%,918037298998.0,₹500,Gynac
Dr. Sowmya Kulkarni,"Pimple Saudagar,",Gynecologist,100%,912241642434.0,₹1000,Gynac
Dr. Shivani Jain,"Kharadi,",Gynecologist,95%,917971171434.0,₹700,Gynac
Dr. Nameeta Mokashi-Bhalerao,"Shivajinagar,",Gynecologist,100%,912048553255.0,₹800,Gynac
Dr. Chaitanya Ganapule,"Hadapsar,",Gynecologist,96%,917969141662.0,₹1000,Gynac
Dr. Anil Lonkar,"Hadapsar,",Gynecologist,78%,912071185854.0,₹600,Gynac
Dr. Mangal Puri,"Bhosari,",Gynecologist,unavailable,912071185854.0,₹700,Gynac
Dr. Medha Tukshetty,"Viman Nagar,",Gynecologist,100%,912071171708.0,₹700,Gynac
Dr. Savita Chavan,"Baner,",Gynecologist,unavailable,unavailable,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Gynac
Dr. Vandana Khanijo,"Viman Nagar,",Gynecologist,65%,912071171708.0,₹825,Gynac
Dr. Vaishali Amit Bhosale,"Kharadi,",Gynecologist,94%,912071189376.0,₹500,Gynac
Dr. Geeta Wadadekar,"Senapati Bapat Marg,",Gynecologist,100%,912071187163.0,₹900,Gynac
Dr. Shilpa Chaudhari,"Pimple Saudagar,",Gynecologist,100%,912071187163.0,₹600,Gynac
Dr. Tanushree Deshpande,"Senapati Bapat Marg,",Gynecologist,100%,912071187883.0,₹1000,Gynac
Dr. Manasi Viren Naralkar,"Senapati Bapat Marg,",Gynecologist,100%,912071187733.0,₹900,Gynac
Dr. Meenakshi Dinde,"Wakad,",Gynecologist,94%,912071171335.0,₹600,Gynac
Dr. Pooja Kolhe,"Kharadi,",Gynecologist,100%,912071173175.0,₹800,Gynac
Dr. Anagha Pai Raiturker,"Senapati Bapat Marg,",Gynecologist,100%,912071187887.0,₹700,Gynac
Dr. Deepti K,"Kharadi,",Gynecologist,unavailable,912048552978.0,₹500,Gynac
Dr. Mrinmayi Dharmadhikari,"Hadapsar,",Gynecologist,100%,912048556137.0,₹500,Gynac
Dr. Smita Surana,"Baner,",Gynecologist,100%,918037285150.0,₹1000,Gynac
Dr. Sucheta Talele,"Hadapsar,",Gynecologist,100%,912071173265.0,₹500,Gynac
Dr. Satish Shankar Londhe,"Kalyani Nagar,",Gynecologist,100%,912048566750.0,₹1000,Gynac
Dr. Balki Sneha Govind,"Kharadi,",Gynecologist,unavailable,918037298999.0,₹500,Gynac
Dr. Rahul Chavan,"Wakad,",Gynecologist,unavailable,918037298999.0,₹500,Gynac
Dr. Lakshmi Kalbande,"Pimple Saudagar,",Gynecologist,50%,917969201493.0,₹1000,Gynac
Dr. Rameshwar Hudekar,"Wakad,",Internal Medicine,88%,917941058734.0,"This fee is indicative and might vary.
NOTE: Fees is payable at clinic. There are NO charges for booking an appointment.",Internal Medicine
Dr. Prasad,"Bhosari,",Internal Medicine,unavailable,917949108205.0,₹750,Internal Medicine
Dr. Nitin S Kabra,"Pimple Saudagar,",Internal Medicine,83%,912048553738.0,₹1000,Internal Medicine
Dr. Mahesh Jadhav,"Wakad,",Internal Medicine,67%,912048556819.0,₹500,Internal Medicine
Dr. Jayprakash Shirpurwar,"Viman Nagar,",Internal Medicine,33%,917949108193.0,₹600,Internal Medicine
Dr. Sandesh Ghiya,"Ganga Dham,",Internal Medicine,unavailable,912048553261.0,₹700,Internal Medicine
Dr. Monika Mamidwar,"Pimple Saudagar,",Internal Medicine,94%,912241642436.0,₹1000,Internal Medicine
Dr. Aditya Sondankar,"Bhosari,",Internal Medicine,100%,917949108205.0,₹1000,Internal Medicine
Dr. Govind Kulkarni,"Viman Nagar,",Internal Medicine,83%,917971262163.0,₹800,Internal Medicine
Dr. Girish Date,"Deccan Gymkhana,",Internal Medicine,100%,912048552984.0,₹1100,Internal Medicine
Dr. Rahul Baste,"Pimpri-Chinchwad,",Internal Medicine,unavailable,912071172550.0,₹1000,Internal Medicine
Dr. Avinash Mundhe,"Pimpri-Chinchwad,",Internal Medicine,100%,912048553263.0,₹1000,Internal Medicine
Dr. Madhukar Jadhav,"Alandi Road,",Internal Medicine,85%,917971261865.0,₹400,Internal Medicine
Dr. Jenny Koshy,"Nigdi-Pradhikaran,",Internal Medicine,unavailable,912071177321.0,₹1000,Internal Medicine
Dr. Komal Kulkarni,"Bavdhan,",Internal Medicine,83%,912071173180.0,₹600,Internal Medicine
Dr. Sanjay Agarwal,"Nagar Road,",Internal Medicine,96%,918037320523.0,₹1650,Internal Medicine
Dr. Tushar Anil Warke,"Pimpri-Chinchwad,",Internal Medicine,100%,917971261555.0,₹1000,Internal Medicine
Dr. Anuja Kulkarni Mukund,"Shankar Shet Road,",Internal Medicine,unavailable,912071171359.0,₹1000,Internal Medicine
Dr. Aditi Pandey,"Pimpri-Chinchwad,",Internal Medicine,50%,912048554750.0,₹1000,Internal Medicine
Dr. Saleena Vaidya,"Shankar Shet Road,",Internal Medicine,unavailable,912048554750.0,₹1000,Internal Medicine
Dr. Baset Hakim,"Viman Nagar,",Internal Medicine,83%,917969141767.0,₹715,Internal Medicine
Dr. Bhagyashree Lahane,"Pimple Saudagar,",Internal Medicine,unavailable,912071533717.0,₹800,Internal Medicine
Dr. Pankaj Changedia,"Kharadi,",Internal Medicine,92%,912071533717.0,₹600,Internal Medicine
Dr. Manoj Naik,"Deccan Gymkhana,",Internal Medicine,67%,912048552984.0,₹665,Internal Medicine
Dr. Shrikant Govind Kulkarni,"Wanowrie,",Internal Medicine,unavailable,912048552971.0,₹750,Internal Medicine
Dr. Amol L Dange,"Hinjewadi,",Internal Medicine,92%,912048552971.0,₹600,Internal Medicine
Dr. Rashida Melinkeri Patanwala,"Deccan Gymkhana,",Internal Medicine,unavailable,912071185853.0,₹605,Internal Medicine
Dr. Mohan Magdum,"Pimpri-Chinchwad,",Internal Medicine,100%,912048553260.0,₹900,Internal Medicine
Dr. Aniruddha Tembe,"Pimpri-Chinchwad,",Internal Medicine,83%,917971171949.0,₹1000,Internal Medicine
Dr. Gaurav Chaudhary,"Balewadi,",Internal Medicine,97%,917971171949.0,₹600,Internal Medicine
Dr. Suhas Mondhe,"Baner,",Nephrologist,100%,912048556927.0,₹1000,Nephrologist
Dr. Pavan Wakhare,"Bhosari,",Nephrologist,100%,917949108205.0,₹1000,Nephrologist
Dr. Sandeep S Morkhandikar,"Wanowrie,",Nephrologist,100%,912048556145.0,₹900,Nephrologist
Dr. Shailesh Gondane,"Pimple Saudagar,",Nephrologist,100%,912048553738.0,₹1500,Nephrologist
Dr. Madhavi Dadwe,"Wanowrie,",Nephrologist,unavailable,912048556145.0,₹900,Nephrologist
Dr. Manish Mali,"Pimpri-Chinchwad,",Nephrologist,62%,918037313395.0,₹1000,Nephrologist
Dr. Sachin Patil,"Nagar Road,",Nephrologist,92%,917969142017.0,₹1210,Nephrologist
Dr. Vivek Biradar,"Wakad,",Nephrologist,100%,917971261731.0,₹1000,Nephrologist
Dr. Kumthekar Girish Vasudeo,"Pimpri-Chinchwad,",Nephrologist,unavailable,912071187883.0,₹1000,Nephrologist
Dr. Manan V Doshi,"Deccan Gymkhana,",Nephrologist,50%,912071177307.0,₹1210,Nephrologist
Dr. Sneha Trivedi,"Hadapsar,",Obstetrician,93%,912048556097.0,₹750,Obsstetrician
Dr. Kishore Pandit,"Shivajinagar,",Obstetrician,99%,917949107756.0,₹1400,Obsstetrician
Dr. Soniya Pawar,"Dhankawadi,",Obstetrician,90%,912048556246.0,₹800,Obsstetrician
Dr. Sonali Chaudhari,"Pimple Saudagar,",Obstetrician,91%,912048554718.0,₹800,Obsstetrician
Dr. Rushabh Karnawat,"Wakad,",Obstetrician,97%,912071189373.0,₹600,Obsstetrician
Dr. Santosh Sidid,"Hadapsar,",Obstetrician,unavailable,912048556097.0,₹850,Obsstetrician
Dr. Marya Patil,"Wanowrie,",Obstetrician,unavailable,912048556145.0,₹700,Obsstetrician
Dr. Asha Gavade,"Hadapsar,",Obstetrician,96%,917941058656.0,₹700,Obsstetrician
Dr. Shweta Pandya,"Pimple Saudagar,",Obstetrician,100%,912048553738.0,₹1000,Obsstetrician
Dr. Nilesh Unmesh Balkawade,"Wakad,",Obstetrician,93%,912071177427.0,Free Consultation,Obsstetrician
Dr. Sushil Garud,"Kharadi,",Obstetrician,unavailable,917969201343.0,₹700,Obsstetrician
Dr. Vandana Khanijo,"Viman Nagar,",Obstetrician,65%,912071171708.0,₹825,Obsstetrician
Dr. Mukta Paul,"Kalyani Nagar,",Obstetrician,100%,912071533850.0,₹1000,Obsstetrician
Dr. K Anupama,"Kharadi,",Obstetrician,97%,918037313286.0,₹600,Obsstetrician
Dr. Avinash Phadnis,"Pimple Saudagar,",Obstetrician,67%,917971262069.0,₹1000,Obsstetrician
Dr. Asmita Gholap,"Nagar Road,",Obstetrician,100%,917971262069.0,₹880,Obsstetrician
Dr. Mansi Sharma,"Kharadi,",Obstetrician,100%,912048552978.0,₹850,Obsstetrician
Dr. Rushali,"Kharadi,",Obstetrician,50%,912048552983.0,₹700,Obsstetrician
Dr. Meenal Mehendale,"Shivajinagar,",Obstetrician,100%,912071189377.0,₹600,Obsstetrician
Dr. Smita S Deo,"Baner,",Obstetrician,96%,917969141595.0,₹1000,Obsstetrician
Dr. Sujata Uday Rajput,"Lulla Nagar,",Obstetrician,100%,912048553065.0,₹800,Obsstetrician
Dr. Tejal Deshmukh Mokashi,"Baner,",Obstetrician,91%,918037298996.0,₹1000,Obsstetrician
Dr. Bhagyashri R Naphade,"Wakad,",Obstetrician,100%,914049174245.0,₹600,Obsstetrician
Dr. Renuka Aney,"Baner,",Obstetrician,unavailable,912071533850.0,₹1000,Obsstetrician
Dr. Manisha Kulkarni,"Hadapsar,",Obstetrician,100%,912071171227.0,₹880,Obsstetrician
Dr. Prajakta Mahajan,"Pimple Saudagar,",Obstetrician,100%,912048553586.0,₹1000,Obsstetrician
Dr. Gauri Jagdale,"Kharadi,",Obstetrician,unavailable,912071177427.0,₹850,Obsstetrician
Dr. Mehta Shaikesh Ukchand,"Shankar Shet Road,",Obstetrician,unavailable,912071171359.0,₹1000,Obsstetrician
Dr. Archana Changedia,"Kharadi,",Obstetrician,96%,912071171359.0,₹600,Obsstetrician
Dr. Neelkanth G Belvi,"Wanowrie,",Obstetrician,97%,912048556998.0,₹400,Obsstetrician
Dr. Jaideep Palwade,"Baner,",Obstetrician,94%,unavailable,₹500,Obsstetrician
Dr. Shivani Jain,"Kharadi,",Obstetrician,95%,917971171434.0,₹700,Obsstetrician
Dr. Nameeta Mokashi-Bhalerao,"Shivajinagar,",Obstetrician,100%,912048553255.0,₹800,Obsstetrician
Dr. Chaitanya Ganapule,"Hadapsar,",Obstetrician,96%,917969141662.0,₹1000,Obsstetrician
Dr. Anil Lonkar,"Hadapsar,",Obstetrician,78%,912071185854.0,₹600,Obsstetrician
Dr. Mangal Puri,"Bhosari,",Obstetrician,unavailable,912071185854.0,₹700,Obsstetrician
Dr. Medha Tukshetty,"Viman Nagar,",Obstetrician,100%,912071171708.0,₹700,Obsstetrician
Dr. Geeta Wadadekar,"Senapati Bapat Marg,",Obstetrician,100%,912071187163.0,₹900,Obsstetrician
Dr. Tanushree Deshpande,"Senapati Bapat Marg,",Obstetrician,100%,912071187883.0,₹1000,Obsstetrician
Dr. Manasi Viren Naralkar,"Senapati Bapat Marg,",Obstetrician,100%,912071187733.0,₹900,Obsstetrician
Dr. Meenakshi Dinde,"Wakad,",Obstetrician,94%,912071171335.0,₹600,Obsstetrician
Dr. Pooja Kolhe,"Kharadi,",Obstetrician,100%,912071173175.0,₹800,Obsstetrician
Dr. Deepti K,"Kharadi,",Obstetrician,unavailable,912048552978.0,₹500,Obsstetrician
Dr. Smita Surana,"Baner,",Obstetrician,100%,918037285150.0,₹1000,Obsstetrician
Dr. Sucheta Talele,"Hadapsar,",Obstetrician,100%,912071173265.0,₹500,Obsstetrician
Dr. Satish Shankar Londhe,"Kalyani Nagar,",Obstetrician,100%,912048566750.0,₹1000,Obsstetrician
Dr. Balki Sneha Govind,"Kharadi,",Obstetrician,unavailable,918037298999.0,₹500,Obsstetrician
Dr. Rahul Chavan,"Wakad,",Obstetrician,unavailable,918037298999.0,₹500,Obsstetrician
Dr. Lakshmi Kalbande,"Pimple Saudagar,",Obstetrician,50%,918037298999.0,₹1000,Obsstetrician
Dr. Pankaj Kshirsagar,"Pimple Saudagar,",Oncologist,90%,912048553738.0,₹1000,Oncologist
Dr. Ashish Pokharkar,"Hadapsar,",Oncologist,86%,912048556097.0,₹700,Oncologist
Dr. Bangar Ashish Sahurao,"Bhosari,",Oncologist,unavailable,917949108205.0,₹800,Oncologist
Dr. Bhalgat Bhushan Sanjay,"Wanowrie,",Oncologist,unavailable,912048556145.0,₹1100,Oncologist
Dr. Sumit Shah,"Gultekdi,",Oncologist,99%,917971261617.0,₹800,Oncologist
Dr. Neeraj Dhingra,"Pimpri-Chinchwad,",Oncologist,unavailable,912071173265.0,₹1000,Oncologist
Dr. Prashant Chandra,"Pimpri-Chinchwad,",Oncologist,unavailable,917971261625.0,₹1000,Oncologist
Dr. Sanjay M H,"Hadapsar,",Oncologist,100%,912071188518.0,₹845,Oncologist
Dr. Joy Ghose,"Hadapsar,",Oncologist,100%,917971262045.0,₹845,Oncologist
Dr. Rahul Wagh,"Viman Nagar,",Oncologist,100%,917971262845.0,₹1000,Oncologist
Dr. Asma Sadique Pathan,"Viman Nagar,",Oncologist,100%,912048553256.0,₹1000,Oncologist
Dr. Kulkarni Shriniwas Subhash,"Kharadi,",Oncologist,unavailable,912071187259.0,₹1000,Oncologist
Dr. Nikhil V. Rishikeshi,"Kothrud,",Ophthalmologist,97%,917948227956.0,₹1000,Ophthalmologist
Dr. Metta Padma Lakshmi,"Aundh,",Ophthalmologist,88%,917948228267.0,₹600,Ophthalmologist
Dr. Anand Palimkar,"Viman Nagar,",Ophthalmologist,96%,917948228325.0,₹600,Ophthalmologist
Dr. Sudhir Baburdikar,"Aundh,",Ophthalmologist,100%,917948228267.0,₹600,Ophthalmologist
Dr. Vijay Parbatani,"Kalyani Nagar,",Ophthalmologist,94%,912048553255.0,₹500,Ophthalmologist
Dr. Baban C Dolas,"Pimple Saudagar,",Ophthalmologist,73%,917948227963.0,₹500,Ophthalmologist
Dr. Sonal Ashok Erole,"Pimple Saudagar,",Ophthalmologist,80%,917948227963.0,₹500,Ophthalmologist
Dr. Snehal Wakchaure,"Viman Nagar,",Ophthalmologist,91%,917948228325.0,₹500,Ophthalmologist
Dr. Pankaj Asawa,"Aundh,",Ophthalmologist,88%,917948228267.0,₹600,Ophthalmologist
Dr. Nitin Prabhudesai,"Kothrud,",Ophthalmologist,94%,917948227956.0,₹1200,Ophthalmologist
Dr. Kavita Kasav,"Hadapsar,",Ophthalmologist,99%,917971261542.0,₹600,Ophthalmologist
Dr. Suchi Smitha T. Behere,"Baner,",Ophthalmologist,99%,918037321492.0,₹800,Ophthalmologist
Dr. Soumya Jabar,"Pimple Saudagar,",Ophthalmologist,100%,917971262811.0,₹600,Ophthalmologist
Dr. Rashmi Bhadange,"Pimple Saudagar,",Ophthalmologist,100%,918037314054.0,₹600,Ophthalmologist
Dr. Nisha Chauhan,"Pimpri-Chinchwad,",Ophthalmologist,100%,912071189377.0,₹1000,Ophthalmologist
Dr. Nitesh Bhalla,"Wakad,",unavailable,100%,912071173261.0,₹600,Ophthalmologist
Dr. Gaurav Patil,"Pimpri-Chinchwad,",Ophthalmologist,100%,918037321086.0,₹400,Ophthalmologist
Dr. Muralidhar Alavandi,"Viman Nagar,",Ophthalmologist,90%,912048553251.0,₹750,Ophthalmologist
Dr. Bhagwan Narayanrao Kakne,"Viman Nagar,",Ophthalmologist,100%,912071179000.0,₹750,Ophthalmologist
Dr. Mehta Poonam Ravikant,"Shankar Shet Road,",Ophthalmologist,unavailable,912071171359.0,₹1000,Ophthalmologist
Dr. Kuldeep Dole,"Deccan Gymkhana,",Ophthalmologist,100%,912048553247.0,₹605,Ophthalmologist
Dr. Anagha Behere,"Aundh,",Ophthalmologist,99%,912048553247.0,₹600,Ophthalmologist
Dr. Sharoon Shitole,"Pimple Saudagar,",Ophthalmologist,96%,912048553247.0,₹500,Ophthalmologist
Dr. Ajit kumar,"Hadapsar,",Ophthalmologist,100%,917969201370.0,₹600,Ophthalmologist
Dr. Dipti Murkute (Pansare),"Kharadi,",Ophthalmologist,97%,918037311983.0,₹700,Ophthalmologist
